City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vigrestad,58.5667,5.7,10.14,92,64,0.74,NO,1667064377
84,cherskiy,68.75,161.3,-18.79,98,100,2.2,RU,1667064378
85,port keats,-14.25,129.55,27.69,75,100,3.67,AU,1667064378
86,luxor,25.6989,32.6421,26.03,38,0,1.54,EG,1667064378
87,portland,45.5234,-122.6762,12.77,95,100,2.57,US,1667063635
88,gat,31.61,34.7642,24.67,65,0,3.6,IL,1667064379
89,saint george,37.1041,-113.5841,13.86,32,0,0.89,US,1667064111
90,cayenne,4.9333,-52.3333,24.02,94,75,1.03,GF,1667064082
91,ilulissat,69.2167,-51.1,1.01,86,75,3.6,GL,1667064380
92,rikitea,-23.1203,-134.9692,23.18,79,100,3.29,PF,1667064156
93,waingapu,-9.6567,120.2641,25.52,73,98,3.21,ID,1667064380
94,pio xii,-3.8325,-45.1525,38.01,27,92,2.57,BR,1667064380
95,farmington,36.7281,-108.2187,12.89,41,0,2.57,US,1667064381
96,ambon,-3.6954,128.1814,25.69,14,40,4.12,ID,1667064381
97,hasaki,35.7333,140.8333,10.16,58,0,7.49,JP,1667064192
98,mahebourg,-20.4081,57.7,23.16,78,75,1.54,MU,1667064382
99,shipunovo,52.1582,82.2173,-2.74,64,41,1.21,RU,1667064382
100,qaanaaq,77.484,-69.3632,-24.34,68,0,3.84,GL,1667064383
101,san quintin,30.4833,-115.95,19.79,70,3,4.04,MX,1667064383
102,sept-iles,50.2001,-66.3821,8.0,71,75,6.17,CA,1667064370
103,lompoc,34.6391,-120.4579,21.08,90,0,1.54,US,1667064093
104,barrow,71.2906,-156.7887,-4.99,86,100,11.32,US,1667064090
105,manfredonia,41.6259,15.9094,18.42,77,0,2.06,IT,1667064384
106,sulangan,11.1373,123.7228,28.37,76,100,10.64,PH,1667064384
107,khatanga,71.9667,102.5,-14.9,90,100,1.9,RU,1667064384
108,hamilton,39.1834,-84.5333,20.68,45,0,2.57,US,1667063781
109,hambantota,6.1241,81.1185,26.55,72,100,0.71,LK,1667064385
110,san marcos,33.1434,-117.1661,23.18,58,0,1.54,US,1667064385
111,gobabis,-22.45,18.9667,26.21,32,63,11.64,NA,1667064386
112,tual,-5.6667,132.75,29.08,72,75,2.28,ID,1667064386
113,strezhevoy,60.7333,77.5889,-6.37,89,24,2.57,RU,1667064386
114,dingle,10.9995,122.6711,25.31,90,100,7.99,PH,1667064387
115,high rock,26.6208,-78.2833,27.01,72,9,8.58,BS,1667064387
116,algiers,36.7525,3.042,21.9,78,20,2.57,DZ,1667064249
117,karratha,-20.7377,116.8463,20.83,42,0,8.97,AU,1667064388
118,hokitika,-42.7167,170.9667,12.19,92,55,2.53,NZ,1667064388
119,vaini,-21.2,-175.2,21.09,94,40,1.54,TO,1667064388
120,broome,42.2506,-75.833,15.93,45,0,1.54,US,1667064389
121,morganton,35.7454,-81.6848,18.26,74,100,1.34,US,1667064389
122,mao,39.8885,4.2658,20.31,88,20,2.06,ES,1667064296
123,sur,22.5667,59.5289,25.27,74,0,3.47,OM,1667064141
124,topchanchi,23.9,86.2,20.09,57,0,2.02,IN,1667064390
125,nouadhibou,20.931,-17.0347,29.99,37,59,4.12,MR,1667064390
126,papara,-3.9839,-38.7273,32.75,53,99,6.11,BR,1667064390
127,saskylakh,71.9167,114.0833,-17.0,89,100,4.21,RU,1667064391
128,avarua,-21.2078,-159.775,23.03,73,75,4.63,CK,1667064391
129,bethel,41.3712,-73.414,16.14,41,0,2.06,US,1667064391
130,dubuque,42.4833,-90.8668,14.93,52,0,2.06,US,1667064392
131,esperance,-33.8667,121.9,11.91,87,100,9.93,AU,1667064392
132,chapais,49.7834,-74.8492,10.88,54,73,6.24,CA,1667064392
133,quatre cocos,-20.2078,57.7625,23.06,77,2,4.57,MU,1667064393
134,estelle,29.8458,-90.1067,27.0,78,75,7.2,US,1667064393
135,srednekolymsk,67.45,153.6833,-25.7,100,90,1.76,RU,1667064097
136,acapulco,16.8634,-99.8901,29.9,74,75,1.03,MX,1667064394
137,tazovskiy,67.4667,78.7,-6.89,90,89,6.47,RU,1667064394
138,lengshuijiang,27.6881,111.4294,15.1,87,100,1.45,CN,1667064395
139,tiksi,71.6872,128.8694,-14.54,90,95,3.41,RU,1667064395
140,bredasdorp,-34.5322,20.0403,17.82,81,100,4.13,ZA,1667064395
141,ostrovnoy,68.0531,39.5131,4.44,96,100,9.92,RU,1667064396
142,nemuro,43.3236,145.575,9.67,86,1,4.01,JP,1667064396
143,bambous virieux,-20.3428,57.7575,23.14,78,75,1.54,MU,1667064396
144,udalguri,26.7667,92.1333,20.0,77,0,1.8,IN,1667064397
145,road town,18.4167,-64.6167,31.05,79,40,5.14,VG,1667064369
146,panacan,9.2463,118.4082,26.8,82,100,4.15,PH,1667064397
147,norman wells,65.282,-126.8329,-7.98,93,100,1.54,CA,1667064398
148,kargopol,61.5071,38.9456,7.06,95,100,4.51,RU,1667064239
149,upernavik,72.7868,-56.1549,-8.85,67,61,7.61,GL,1667064398
150,kaspiyskiy,45.3929,47.3707,9.62,75,95,2.9,RU,1667064398
151,dwarka,22.2394,68.9678,27.77,61,0,5.41,IN,1667064399
152,matara,5.9485,80.5353,24.83,89,100,1.17,LK,1667064399
153,shahr-e babak,30.1165,55.1186,18.68,21,6,2.53,IR,1667064400
154,orotina,9.912,-84.5234,32.17,63,82,2.78,CR,1667064400
155,konstantinovka,49.6167,127.9833,-0.45,54,13,1.78,RU,1667064400
156,presidencia roque saenz pena,-26.7852,-60.4388,40.25,24,14,4.59,AR,1667064401
157,chuy,-33.6971,-53.4616,28.31,37,4,4.88,UY,1667064401
158,ilhabela,-23.7781,-45.3581,27.42,71,46,3.05,BR,1667064327
159,northam,51.0333,-4.2167,15.9,87,100,7.77,GB,1667064402
160,bourail,-21.5667,165.4833,23.13,88,14,0.48,NC,1667064402
161,kaitong,44.8135,123.15,2.08,42,46,2.77,CN,1667064402
162,katsuura,35.1333,140.3,14.62,65,33,5.92,JP,1667064403
163,bluff,-46.6,168.3333,8.78,93,49,1.9,NZ,1667064403
164,juneau,58.3019,-134.4197,3.45,94,100,9.77,US,1667064219
165,tuktoyaktuk,69.4541,-133.0374,-11.0,85,100,4.12,CA,1667064404
166,brookings,44.3114,-96.7984,14.69,77,12,1.79,US,1667064131
167,iskateley,67.6803,53.1512,0.58,98,100,7.14,RU,1667064404
168,bowen,-20.0167,148.2333,24.65,75,0,2.55,AU,1667064404
169,mabaruma,8.2,-59.7833,28.52,83,68,2.26,GY,1667064405
170,lebu,-37.6167,-73.65,12.93,95,100,6.31,CL,1667064405
171,cidreira,-30.1811,-50.2056,26.68,64,10,3.09,BR,1667064406
172,puerto ayora,-0.7393,-90.3518,23.98,91,93,3.13,EC,1667064406
173,tiarei,-17.5333,-149.3333,26.01,80,24,4.94,PF,1667064192
174,severo-kurilsk,50.6789,156.125,3.27,75,70,2.84,RU,1667064407
175,tasiilaq,65.6145,-37.6368,2.09,98,100,7.12,GL,1667064408
176,laguna,38.421,-121.4238,20.56,62,0,2.57,US,1667064408
177,valentin gomez farias,28.2167,-106.5833,13.54,35,1,2.74,MX,1667064408
178,natitingou,10.3042,1.3796,28.06,37,1,1.57,BJ,1667064409
179,lata,40.1629,-8.3327,18.23,93,100,0.82,PT,1667064409
180,vila velha,-20.3297,-40.2925,29.97,76,20,7.72,BR,1667064410
181,port lincoln,-34.7333,135.8667,13.69,74,100,7.97,AU,1667064410
182,hithadhoo,-0.6,73.0833,25.62,90,100,7.45,MV,1667064410
183,vardo,70.3705,31.1107,3.99,93,100,9.77,NO,1667064411
184,klaksvik,62.2266,-6.589,8.51,97,100,7.81,FO,1667064316
185,hami,42.8,93.45,6.16,29,0,5.08,CN,1667064411
186,sarangani,5.4033,125.4636,27.9,78,99,1.95,PH,1667064411
