City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,upernavik,72.7868,-56.1549,1.97,75,100,8.49,GL,1670598015
83,kerrobert,51.9168,-109.1348,-5.83,85,100,4.07,CA,1670598017
84,ratnagiri,16.9833,73.3,23.75,56,100,3.69,IN,1670598019
85,camana,-16.6228,-72.7111,20.44,85,100,2.35,PE,1670598021
86,provideniya,64.3833,-173.3,-0.31,87,100,7.85,RU,1670598022
87,saskylakh,71.9167,114.0833,-36.48,100,79,2.0,RU,1670598023
88,wewak,-3.5534,143.6268,25.61,85,76,0.31,PG,1670598027
89,choma,-16.8065,26.9531,20.95,81,100,1.53,ZM,1670598030
90,hobart,-42.8794,147.3294,11.92,83,100,2.06,AU,1670598031
91,cooma,-36.2333,149.1333,2.04,88,48,0.91,AU,1670598031
92,sao filipe,14.8961,-24.4956,25.72,70,1,3.22,CV,1670598034
93,noumea,-22.2763,166.4572,26.11,99,0,1.7,NC,1670598035
94,chilca,-12.5211,-76.7372,20.64,76,57,3.37,PE,1670598035
95,munai,7.9758,124.0636,20.83,96,100,1.5,PH,1670598038
96,sindor,62.8629,51.8905,-12.53,96,100,1.95,RU,1670598039
97,namtsy,62.7161,129.6658,-33.67,100,100,1.29,RU,1670598040
98,turkmenabat,39.0733,63.5786,-2.94,34,0,6.63,TM,1670598040
99,general pico,-35.6566,-63.7568,32.8,34,18,1.32,AR,1670598041
100,kruisfontein,-34.0033,24.7314,28.19,52,53,7.99,ZA,1670598041
101,xuddur,4.1213,43.8894,30.25,33,45,4.33,SO,1670598042
102,maceio,-9.6658,-35.7353,31.69,62,75,6.17,BR,1670598042
103,paris,48.8534,2.3488,3.38,83,20,3.6,FR,1670597700
104,kaitangata,-46.2817,169.8464,11.1,98,42,2.32,NZ,1670598043
105,porto novo,6.4965,2.6036,30.02,62,0,5.17,BJ,1670598035
106,kundiawa,-6.0167,144.9667,16.96,96,100,0.69,PG,1670598043
107,barrow,71.2906,-156.7887,-11.52,92,100,2.01,US,1670597915
108,biloela,-24.4167,150.5,21.29,88,1,1.65,AU,1670598044
109,fukue,32.6881,128.8419,14.86,59,27,8.19,JP,1670598045
110,butaritari,3.0707,172.7902,27.12,79,61,8.3,KI,1670598045
111,morehead,37.2711,-87.1764,11.66,99,100,0.0,US,1670598046
112,edson,53.5835,-116.4356,-13.44,91,83,1.89,CA,1670598046
113,vao,-22.6667,167.4833,25.56,82,0,4.01,NC,1670598047
114,tiarei,-17.5333,-149.3333,24.01,76,48,4.11,PF,1670598047
115,rocha,-34.4833,-54.3333,37.06,19,0,4.6,UY,1670598048
116,torquay,50.4638,-3.5143,5.13,87,6,1.34,GB,1670598048
117,sao joao da barra,-21.6403,-41.0511,25.68,75,2,3.91,BR,1670598048
118,salalah,17.0151,54.0924,24.7,57,2,1.57,OM,1670598049
119,hilo,19.7297,-155.09,22.38,97,98,0.45,US,1670597853
120,kapaa,22.0752,-159.319,23.94,68,91,3.13,US,1670598050
121,richards bay,-28.783,32.0377,27.0,70,30,5.68,ZA,1670598017
122,lagoa,39.05,-27.9833,15.53,83,100,12.26,PT,1670598051
123,maroantsetra,-15.4333,49.7333,24.62,87,19,4.24,MG,1670598051
124,guangyuan,32.442,105.823,10.31,68,100,0.69,CN,1670598052
125,tiksi,71.6872,128.8694,-32.12,100,100,2.66,RU,1670598052
126,honghu,29.8206,113.4621,9.68,69,0,2.16,CN,1670598053
127,araouane,18.9048,-3.5265,32.3,7,0,5.08,ML,1670598053
128,puerto carreno,6.189,-67.4859,29.72,56,64,4.2,CO,1670598054
129,byron bay,-28.65,153.6167,18.3,83,100,2.2,AU,1670598055
130,westport,41.1415,-73.3579,5.24,64,0,4.47,US,1670598055
131,kavieng,-2.5744,150.7967,27.71,76,100,4.21,PG,1670598055
132,norman wells,65.282,-126.8329,-20.7,98,100,1.94,CA,1670598056
133,hobyo,5.3505,48.5268,26.81,70,19,7.78,SO,1670598056
134,tuatapere,-46.1333,167.6833,10.85,97,50,1.47,NZ,1670598057
135,chokurdakh,70.6333,147.9167,-28.81,97,100,1.94,RU,1670598057
136,elko,41.0002,-115.5012,-2.99,93,100,0.45,US,1670598058
137,shingu,33.7333,135.9833,10.01,72,100,2.26,JP,1670598058
138,varna,43.2167,27.9167,12.91,89,0,2.06,BG,1670598059
139,parana,-31.732,-60.5238,40.59,19,8,4.88,AR,1670598059
140,castro,-24.7911,-50.0119,29.12,47,0,2.04,BR,1670598059
141,inhambane,-23.865,35.3833,27.21,72,80,5.44,MZ,1670598060
142,dhrol,22.5667,70.4167,23.74,26,0,4.34,IN,1670598060
143,nikolskoye,59.7035,30.7861,-1.06,96,100,3.23,RU,1670598061
144,siniscola,40.5719,9.6922,20.75,63,94,4.42,IT,1670598061
145,tura,25.5198,90.2201,16.06,85,30,1.44,IN,1670597869
146,derzhavinsk,51.1,66.3167,-15.09,90,82,3.39,KZ,1670598063
147,bethel,41.3712,-73.414,4.19,69,2,0.89,US,1670598064
148,sakata,38.9167,139.855,5.45,90,100,1.93,JP,1670598066
149,saiha,22.4833,92.9667,16.24,74,50,1.51,IN,1670598067
150,luderitz,-26.6481,15.1594,21.17,69,1,9.1,NA,1670598068
151,muroto,33.2833,134.15,14.83,73,100,4.15,JP,1670598071
152,shieli,44.1667,66.75,-12.86,88,6,3.41,KZ,1670598075
153,abasolo,20.45,-101.5167,14.05,65,0,2.09,MX,1670598076
154,abalak,58.1286,68.5944,-15.65,97,60,2.53,RU,1670598077
155,batagay-alyta,67.8006,130.4114,-30.19,100,100,0.46,RU,1670598078
156,vardo,70.3705,31.1107,-0.01,86,75,12.35,NO,1670598081
157,portland,45.5234,-122.6762,5.26,93,100,3.58,US,1670597804
158,warrnambool,-38.3833,142.4833,8.41,88,37,3.59,AU,1670598082
159,khuzdar,27.7384,66.6434,15.39,39,17,2.71,PK,1670598083
160,rawah,34.4816,41.9093,15.79,51,36,1.15,IQ,1670598084
161,aleksandrov gay,50.147,48.5704,-7.26,43,59,5.84,RU,1670598084
162,vitim,59.4511,112.5578,-15.07,92,100,5.24,RU,1670598085
163,sao gabriel da cachoeira,-0.1303,-67.0892,26.79,78,95,1.51,BR,1670598085
164,itaquyry,-24.9333,-55.2167,36.47,38,79,1.49,PY,1670598086
165,gushikawa,26.3544,127.8686,19.57,82,95,10.15,JP,1670598086
166,atuona,-9.8,-139.0333,24.56,76,100,4.2,PF,1670598087
167,souillac,-20.5167,57.5167,25.21,88,75,4.12,MU,1670598067
168,goderich,43.7501,-81.7165,-0.61,80,6,5.14,CA,1670597794
